Year,Seed_Champion,Ctry_Champion,Runner-up,Seed_Runner-up,Ctry_Runner-up,Score in the Final,Score1_Champion,Score2_Champion,Score1_Runner-up,Score2_Runner-up,Score3_Champion,Score3_Runner-up
1969,1,AUS,Andrés Gimeno,9,ESP,"6–3, 6–4, 7–5",6,6,3,4,7,5
1970,4,USA,Dick Crealy,12,AUS,"6–4, 9–7, 6–2",6,9,4,7,6,2
1971,2,AUS,Arthur Ashe,3,USA,"6–1, 7–5, 6–3",6,7,1,5,6,3
1972,2,AUS,Malcolm Anderson,8,AUS,"7–6, 6–3, 7–5",7,6,6,3,7,5
1973,2,AUS,Onny Parun,12,NZL,"6–3, 6–7, 7–5",6,6,3,7,7,5
1974,2,USA,Phil Dent,9,AUS,"7–6, 6–4, 4–6",7,6,6,4,4,6
1975,2,AUS,Jimmy Connors,1,USA,"7–5, 3–6, 6–4",7,3,5,6,6,4
1976,0,AUS,John Newcombe,2,AUS,"6–7, 6–3, 7–6",6,6,7,3,7,6
1977,2,USA,Guillermo Vilas,1,ARG,"6–3, 6–3, 6–3",6,6,3,3,6,3
1977,1,USA,John Lloyd,0,GBR,"6–3, 7–6, 5–7",6,7,3,6,5,7
1978,1,ARG,John Marks,0,AUS,"6–4, 6–4, 3–6",6,6,4,4,3,6
1979,1,ARG,John Sadri,6,USA,"7–6, 6–3, 6–2",7,6,6,3,6,2
1980,8,USA,Kim Warwick,14,AUS,"7–5, 7–6, 6–3",7,7,5,6,6,3
1981,4,RSA,Steve Denton,0,USA,"6–2, 7–6, 6–7",6,7,2,6,6,7
1982,1,USA,Steve Denton,2,USA,"6–3, 6–3, 6–2",6,6,3,3,6,2
1983,3,SWE,Ivan Lendl,1,TCH,"6–1, 6–4, 6–4",6,6,1,4,6,4
1984,2,SWE,Kevin Curren,9,RSA,"6–7, 6–4, 7–6",6,6,7,4,7,6
1985,6,SWE,Mats Wilander,3,SWE,"6–4, 6–3, 6–3",6,6,4,3,6,3
1987,4,SWE,Pat Cash,11,AUS,"6–3, 6–4, 3–6",6,6,3,4,3,6
1988,3,SWE,Pat Cash,4,AUS,"6–3, 6–7, 3–6",6,6,3,7,3,6
1989,2,TCH,Miloslav Mečíř,9,TCH,"6–2, 6–2, 6–2",6,6,2,2,6,2
1990,1,TCH,Stefan Edberg,3,SWE,"4–6, 7–6, 5–2 ",4,7,6,6,5,2
1991,2,GER,Ivan Lendl,3,TCH,"1–6, 6–4, 6–4",1,6,6,4,6,4
1992,2,USA,Stefan Edberg,1,SWE,"6–3, 3–6, 6–4",6,3,3,6,6,4
1993,1,USA,Stefan Edberg,2,SWE,"6–2, 6–1, 2–6",6,6,2,1,2,6
1994,1,USA,Todd Martin,9,USA,"7–6, 6–4, 6–4",7,6,6,4,6,4
1995,2,USA,Pete Sampras,1,USA,"4–6, 6–1, 7–6",4,6,6,1,7,6
1996,4,GER,Michael Chang,5,USA,"6–2, 6–4, 2–6",6,6,2,4,2,6
1997,1,USA,Carlos Moyá,0,ESP,"6–2, 6–3, 6–3",6,6,2,3,6,3
1998,6,CZE,Marcelo Ríos,9,CHI,"6–2, 6–2, 6–2",6,6,2,2,6,2
1999,10,RUS,Thomas Enqvist,0,SWE,"4–6, 6–0, 6–3",4,6,6,0,6,3
2000,1,USA,Yevgeny Kafelnikov,2,RUS,"3–6, 6–3, 6–2",3,6,6,3,6,2
2001,6,USA,Arnaud Clément,15,FRA,"6–4, 6–2, 6–2",6,6,4,2,6,2
2002,16,SWE,Marat Safin,9,RUS,"3–6, 6–4, 6–4",3,6,6,4,6,4
2003,2,USA,Rainer Schüttler,31,GER,"6–2, 6–2, 6–1",6,6,2,2,6,1
2004,2,SUI,Marat Safin,0,RUS,"7–6, 6–4, 6–2",7,6,6,4,6,2
2005,4,RUS,Lleyton Hewitt,3,AUS,"1–6, 6–3, 6–4",1,6,6,3,6,4
2006,1,SUI,Marcos Baghdatis,0,CYP,"5–7, 7–5, 6–0",5,7,7,5,6,0
2007,1,SUI,Fernando González,10,CHI,"7–6, 6–4, 6–4",7,6,6,4,6,4
2008,3,SRB,Jo-Wilfried Tsonga,0,FRA,"4–6, 6–4, 6–3",4,6,6,4,6,3
2009,1,ESP,Roger Federer,2,SUI,"7–5, 3–6, 7–6",7,3,5,6,7,6
2010,1,SUI,Andy Murray,5,GBR,"6–3, 6–4, 7–6",6,6,3,4,7,6
2011,3,SRB,Andy Murray,5,GBR,"6–4, 6–2, 6–3",6,6,4,2,6,3
2012,1,SRB,Rafael Nadal,2,ESP,"5–7, 6–4, 6–2",5,6,7,4,6,2
2013,1,SRB,Andy Murray,3,GBR,"6–7, 7–6, 6–3",6,7,7,6,6,3
2014,8,SUI,Rafael Nadal,1,ESP,"6–3, 6–2, 3–6",6,6,3,2,3,6
2015,1,SRB,Andy Murray,6,GBR,"7–6, 6–7, 6–3",7,6,6,7,6,3
2016,1,SRB,Andy Murray,2,GBR,"6–1, 7–5, 7–6",6,7,1,5,7,6
2017,17,SUI,Rafael Nadal,9,ESP,"6–4, 3–6, 6–1",6,3,4,6,6,1
2018,2,SUI,Marin Cilic,6,CRO,"6-2, 6-7, 6-3",6,6,2,7,6,3
2019,1,SRB,Rafael Nadal,2,ESP,"6–3, 6–2, 6–3",6,6,3,2,6,3
2020,2,SRB,Dominic Thiem,5,AUT,"6-4, 4-6, 2-6",6,4,4,6,2,6
2021,1,SRB,Daniil Medvedev,4,RUS,"7-5, 6-2, 6-2",7,6,5,2,6,2
