Player Name,Ranking, Ranking
Novak Djokovic,1.0,
Rafael Nadal,2.0,
Roger Federer,3.0,
Dominic Thiem,4.0,
Daniil Medvedev,5.0,
Alexander Zverev,6.0,
Kei Nishikori,7.0,
Stefanos Tsitsipas,8.0,
Karen Khachanov,9.0,
Roberto Bautista Agut,10.0,
Fabio Fognini,11.0,
Borna Coric,12.0,
Gael Monfils,13.0,
John Isner,14.0,
David Goffin,15.0,
Juan Martin del Potro,16.0,
Kevin Anderson,17.0,
Nikoloz Basilashvili,18.0,
Felix Auger-Aliassime,19.0,
Guido Pella,20.0,
Diego Schwartzman,21.0,
Milos Raonic,22.0,
Marin Cilic,23.0,
Stan Wawrinka,24.0,
Matteo Berrettini,25.0,
Lucas Pouille,26.0,
Taylor Fritz,27.0,
Dusan Lajovic,28.0,
Nick Kyrgios,29.0,
Benoit Paire,30.0,
Kyle Edmund,31.0,
Cristian Garin,32.0,
Fernando Verdasco,33.0,
Richard Gasquet,34.0,
Alex de Minaur,36.0,
Laslo Djere,37.0,
Radu Albot,40.0,
Reilly Opelka,42.0,
Mikhail Kukushkin,44.0,
Pierre-Hugues Herbert,45.0,
Filip Krajinovic,51.0,
Pablo Cuevas,53.0,
Juan Ignacio Londero,56.0,
Adrian Mannarino,57.0,
Daniel Evans,58.0,
Yoshihito Nishioka,59.0,
Cameron Norrie,60.0,
John Millman,61.0,
Feliciano Lopez,63.0,
Pablo Carreno Busta,64.0,
Marton Fucsovics,65.0,
Marco Cecchinato,67.0,
Federico Delbonis,68.0,
Nicolas Jarry,69.0,
Ricardas Berankis,70.0,
Pablo Andujar,71.0,
Philipp Kohlschreiber,72.0,
Jeremy Chardy,74.0,
Alexander Bublik,75.0,
Roberto Carballes Baena,76.0,
Grigor Dimitrov,78.0,
Ivo Karlovic,79.0,
Aljaz Bedene,80.0,
Steve Johnson,82.0,
Corentin Moutet,83.0,
Martin Klizan,84.0,
Hugo Dellien,85.0,
Thomas Fabbiano,87.0,
Peter Gojowczyk,88.0,
Prajnesh Gunneswaran,89.0,
Marcel Granollers,91.0,
Leonardo Mayer,93.0,
Mackenzie McDonald,95.0,
Marius Copil,96.0,
Jaume Munar,97.0,
Thiago Monteiro,100.0,
Naomi Osaka,,1.0
Ashleigh Barty,,2.0
Karolina Pliskova,,3.0
Simona Halep,,4.0
Elina Svitolina,,5.0
Petra Kvitova,,6.0
Kiki Bertens,,7.0
Serena Williams,,8.0
Aryna Sabalenka,,9.0
Madison Keys,,10.0
Sloane Stephens,,11.0
Anastasija Sevastova,,12.0
Belinda Bencic,,13.0
Angelique Kerber,,14.0
Bianca Andreescu,,15.0
Johanna Konta,,16.0
Marketa Vondrousova,,17.0
Qiang Wang,,18.0
Caroline Wozniacki,,19.0
Sofia Kenin,,20.0
Anett Kontaveit,,21.0
Petra Martic,,22.0
Donna Vekic,,23.0
Amanda Anisimova,,24.0
Garbiñe Muguruza,,25.0
Elise Mertens,,26.0
Julia Goerges,,27.0
Caroline Garcia,,28.0
Carla Suárez Navarro,,29.0
Su-Wei Hsieh,,30.0
Maria Sakkari,,31.0
Barbora Strycova,,32.0
Dayana Yastremska,,33.0
Shuai Zhang,,34.0
Danielle Collins,,35.0
Alison Riske,,36.0
Saisai Zheng,,37.0
Katerina Siniakova,,38.0
Yulia Putintseva,,39.0
Lesia Tsurenko,,40.0
Victoria Azarenka,,41.0
Daria Kasatkina,,42.0
Ekaterina Alexandrova,,43.0
Monica Puig,,44.0
Aliaksandra Sasnovich,,45.0
Anastasia Pavlyuchenkova,,46.0
Karolina Muchova,,47.0
Ajla Tomljanovic,,48.0
Iga Swiatek,,49.0
Yafan Wang,,50.0
Veronika Kudermetova,,51.0
Venus Williams,,52.0
Kristina Mladenovic,,53.0
Viktoria Kuzmova,,54.0
Marie Bouzkova,,55.0
Polona Hercog,,56.0
Jessica Pegula,,57.0
Camila Giorgi,,58.0
Jil Teichmann,,59.0
Margarita Gasparyan,,60.0
Ons Jabeur,,61.0
Svetlana Kuznetsova,,62.0
Tamara Zidansek,,63.0
Alizé Cornet,,64.0
Jennifer Brady,,65.0
Alison Van Uytvanck,,66.0
Elena Rybakina,,67.0
Dominika Cibulkova,,68.0
Bernarda Pera,,69.0
Rebecca Peterson,,70.0
Lauren Davis,,71.0
Fiona Ferro,,72.0
Viktorija Golubic,,73.0
Kateryna Kozlova,,74.0
Jelena Ostapenko,,75.0
Agnieszka Radwanska,,76.0
Anastasia Potapova,,76.0
Zarina Diyas,,77.0
Madison Brengle,,78.0
Tatjana Maria,,79.0
Magda Linette,,80.0
Pauline Parmentier,,81.0
Sara Sorribes Tormo,,82.0
Kaia Kanepi,,83.0
Daria Gavrilova,,84.0
Vera Zvonareva,,85.0
Kristyna Pliskova,,86.0
Maria Sharapova,,87.0
Timea Bacsinszky,,88.0
Andrea Petkovic,,89.0
Laura Siegemund,,90.0
Paula Badosa,,91.0
Irina-Camelia Begu,,92.0
Anna Blinkova,,93.0
Ivana Jorovic,,94.0
Astra Sharma,,95.0
Anna Karolina Schmiedlova,,96.0
Aleksandra Krunic,,97.0
Natalia Vikhlyantseva,,98.0
Beatriz Haddad Maia,,99.0
